Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
183	1	53.3745	50.28696	3.087544	0.006603279
184	0	53.67801	50.49044	3.187575	0.005974707
185	1	51.82305	48.48441	3.338635	0.00513703
186	0	53.40244	50.3116	3.090847	0.006581504
187	1	53.4113	50.31938	3.091924	0.00657442
188	0	53.69127	50.545	3.146263	0.006226708
189	1	52.83713	49.79757	3.039556	0.006927882
190	0	52.76967	49.73494	3.034726	0.006961427
191	1	53.6569	50.52295	3.133947	0.00630387
192	0	53.09005	50.03054	3.059504	0.006791058
193	1	53.28767	50.20961	3.078056	0.006666231
194	0	53.50998	50.40479	3.105191	0.006487777
195	1	52.37844	49.36895	3.009486	0.007139368
196	0	53.57586	50.36409	3.211773	0.005831869
197	1	53.69014	50.54441	3.145731	0.00623002
198	0	53.42126	50.18756	3.233704	0.005705365
199	1	53.05934	50.00244	3.056895	0.006808797
200	0	47.00566	43.52094	3.484716	0.004438847
201	1	53.63645	50.43693	3.199521	0.005903762
202	0	53.46825	50.24038	3.227866	0.005738769
203	1	53.65086	50.51859	3.132264	0.00631449
204	0	53.27141	50.02179	3.249615	0.005615301
205	1	53.60057	50.39336	3.207209	0.005858544
206	0	53.57809	50.36671	3.21138	0.005834161
207	1	53.63601	50.50756	3.128457	0.006338573
208	0	53.65146	50.45571	3.195743	0.005926105
209	1	53.65525	50.52177	3.133479	0.006306817
210	0	53.26347	50.18788	3.075586	0.006682718
211	1	53.574	50.3619	3.212099	0.005829967
212	0	52.6124	49.31422	3.298176	0.005349133
213	1	53.65065	50.51844	3.132208	0.006314843
214	0	52.37776	49.36832	3.009446	0.007139657
215	1	52.79363	49.7572	3.036422	0.006949631
216	0	53.32553	50.24347	3.082064	0.006639564
217	1	52.37394	49.06227	3.311669	0.005277443
218	0	53.51481	50.29333	3.221477	0.005775549
219	1	53.47338	50.24619	3.227195	0.005742622
220	0	53.23815	50.16508	3.073069	0.006699556
221	1	51.53549	48.57044	2.965051	0.007463764
222	0	52.69295	49.66352	3.02943	0.006998392
223	1	53.65987	50.52506	3.13481	0.00629843
224	0	53.51264	50.40705	3.105588	0.006485201
225	1	52.88962	49.60923	3.280387	0.005445138
226	0	53.48843	50.38637	3.10206	0.006508122
227	1	53.54918	50.43784	3.111345	0.006447971
228	0	53.63123	50.50392	3.127313	0.006345829
229	1	52.7361	49.44553	3.290568	0.005389985
230	0	53.1967	50.12761	3.069087	0.00672629
231	1	52.96642	49.6915	3.274921	0.005474984
232	0	53.16607	49.90691	3.25916	0.005561959
233	1	52.0995	49.1059	2.993608	0.007253632
234	0	51.31424	48.35942	2.954817	0.007540537
235	1	53.67379	50.48473	3.189058	0.005965856
236	0	52.0218	49.03238	2.989422	0.007284063
237	1	53.4203	50.32727	3.093035	0.006567119
238	0	53.28264	50.03411	3.248531	0.005621393
239	1	53.42991	50.33567	3.09424	0.00655921
240	0	52.2655	49.26261	3.002884	0.007186662
241	1	52.65163	49.62498	3.026657	0.007017828
242	0	52.64855	49.35255	3.296001	0.005360781
243	1	52.18396	49.1857	2.998268	0.007219909
244	0	53.00701	49.95443	3.052583	0.006838217
245	1	53.61145	50.48854	3.122907	0.006373851
246	0	52.80018	49.76329	3.03689	0.00694638
247	1	53.57207	50.35964	3.212434	0.005828018
248	0	53.64787	50.45119	3.196686	0.005920522
249	1	53.56563	50.45149	3.114145	0.006429941
250	0	53.18563	49.92817	3.257465	0.005571397
251	1	53.63692	50.50825	3.128679	0.006337168
252	0	53.68449	50.49939	3.185098	0.00598953
253	1	53.55938	50.44632	3.113064	0.006436899
254	0	52.47843	49.46287	3.015557	0.00709616
255	1	53.52854	50.42052	3.108023	0.006469429
256	0	51.84185	48.86178	2.980061	0.007352564
257	1	52.21973	48.9	3.319729	0.005235075
258	0	53.44622	50.21555	3.230669	0.005722704
259	1	53.44282	50.21173	3.231091	0.00572029
260	0	53.70277	50.54972	3.153052	0.006184578
261	1	53.53673	50.31853	3.218199	0.005794516
262	0	53.70659	50.55008	3.156519	0.006163172
263	1	52.93758	49.66057	3.277007	0.005463577
264	0	53.70938	50.5486	3.160781	0.006136961
265	1	52.96971	49.9201	3.049603	0.006858626
266	0	53.33385	50.09047	3.24339	0.00565037
267	1	53.12173	49.85884	3.26289	0.005541255
268	0	50.94625	48.00752	2.938725	0.007662862
269	1	51.0863	48.14157	2.944725	0.007617025
270	0	53.61655	50.41258	3.203972	0.005877539
271	1	49.10275	46.2329	2.86985	0.008209241
272	0	53.53341	50.3147	3.218708	0.005791564
273	1	53.69311	50.54594	3.147171	0.006221057
274	0	53.70659	50.53463	3.171966	0.006068699
275	1	53.65877	50.52428	3.134487	0.006300463
276	0	53.59785	50.47772	3.120129	0.00639158
277	1	53.67571	50.48732	3.188394	0.005969819
278	0	53.7034	50.54986	3.153544	0.006181535
279	1	53.30388	50.22413	3.07975	0.006654945
280	0	53.57022	50.35746	3.212753	0.005826154
281	1	53.39091	50.15369	3.237219	0.005685345
282	0	52.49039	49.47409	3.016298	0.007090901
283	1	53.64946	50.51757	3.131887	0.00631687
284	0	52.514	49.49623	3.017773	0.007080454
285	1	53.70535	50.55011	3.155238	0.006171072
286	0	53.56187	50.3477	3.214168	0.00581792
287	1	53.57055	50.35786	3.212696	0.00582649
288	0	53.70123	50.52469	3.176532	0.006041054
289	1	53.67901	50.53789	3.141115	0.006258843
290	0	53.70155	50.5494	3.152148	0.006190172
291	1	53.55252	50.33682	3.215705	0.005808984
292	0	52.53833	49.51903	3.019306	0.007069602
293	1	53.58759	50.37792	3.209665	0.005844173
294	0	52.36881	49.3599	3.008913	0.00714346
295	1	53.32025	50.07546	3.244789	0.00564247
296	0	53.69789	50.51923	3.178658	0.006028226
297	1	53.34911	50.26445	3.084657	0.006622371
298	0	53.12243	49.8596	3.262832	0.005541573
299	1	53.69406	50.54641	3.147657	0.006218031
300	0	53.69351	50.51247	3.181037	0.006013902
301	1	52.75657	49.72276	3.033808	0.006967822
302	0	53.60847	50.40283	3.205641	0.005867738
303	1	53.70193	50.5259	3.176033	0.006044071
